date,value
2000-01-01,0.00123
2000-02-01,0.29875
2000-03-01,-0.27414
2000-04-01,-0.89059
2000-05-01,-0.45467
2000-06-01,-0.99165
2000-07-01,0.06014
2000-08-01,1.34022
2000-09-01,-0.49221
2000-10-01,-0.62047
2000-11-01,0.48984
2000-12-01,0.35689
2001-01-01,0.10541
2001-02-01,-0.93047
2001-03-01,-0.02925
2001-04-01,0.6953
2001-05-01,-1.34421
2001-06-01,-0.45762
2001-07-01,-1.90122
2001-08-01,-1.28954
2001-09-01,-1.84174
2001-10-01,-0.23509
2001-11-01,-1.26745
2001-12-01,0.27126
2002-01-01,0.15675
2002-02-01,-0.18693
2002-03-01,-2.51676
2002-04-01,-0.53869
2002-05-01,-0.0485
2002-06-01,0.11331
2002-07-01,-1.53014
2002-08-01,-0.47775
2002-09-01,-0.97852
2002-10-01,-0.80884
2002-11-01,1.0609
2002-12-01,-0.80753
2003-01-01,-0.03252
2003-02-01,0.88439
2003-03-01,-0.5836
2003-04-01,-0.1117
2003-05-01,0.11046
2003-06-01,0.06378
2003-07-01,-1.22506
2003-08-01,0.07614
2003-09-01,1.35882
2003-10-01,-1.54714
2003-11-01,0.85938
2003-12-01,0.11935
2004-01-01,-0.64147
2004-02-01,2.00042
2004-03-01,0.76226
2004-04-01,-1.19929
2004-05-01,0.07452
2004-06-01,0.57669
2004-07-01,-0.18878
2004-08-01,0.68291
2004-09-01,-0.06652
2004-10-01,0.66725
2004-11-01,1.43852
2004-12-01,-0.67566
2005-01-01,0.20314
2005-02-01,-0.46331
2005-03-01,0.12727
2005-04-01,-1.18719
2005-05-01,-0.5793
2005-06-01,-0.1962
2005-07-01,0.89876
2005-08-01,1.14522
2005-09-01,-1.32353
2005-10-01,-0.79464
2005-11-01,0.6469
2005-12-01,-1.99242
2006-01-01,-0.46317
2006-02-01,-0.09729
2006-03-01,1.25701
2006-04-01,0.6894
2006-05-01,-0.32721
2006-06-01,-0.36858
2006-07-01,-0.2502
2006-08-01,1.52353
2006-09-01,-0.42802
2006-10-01,-0.30368
2006-11-01,0.35259
2006-12-01,-0.12077
2007-01-01,-0.19728
2007-02-01,-1.11407
2007-03-01,-0.01152
2007-04-01,-0.44358
2007-05-01,1.16613
2007-06-01,0.65309
2007-07-01,-0.02414
2007-08-01,0.66838
2007-09-01,-0.33987
2007-10-01,1.05213
2007-11-01,-0.0054
2007-12-01,0.58338
2008-01-01,-1.29089
2008-02-01,0.34668
2008-03-01,-1.6882
2008-04-01,-2.03533
2008-05-01,-0.30448
2008-06-01,-0.89993
2008-07-01,0.16405
2008-08-01,2.24476
2008-09-01,-0.83172
2008-10-01,-0.62394
2008-11-01,0.2054
2008-12-01,0.49301
2009-01-01,-0.17641
2009-02-01,-0.20593
2009-03-01,0.70246
2009-04-01,0.51991
2009-05-01,-1.03368
2009-06-01,-0.07918
2009-07-01,0.03529
2009-08-01,-1.05448
2009-09-01,0.25984
2009-10-01,-0.85796
2009-11-01,0.97207
2009-12-01,0.19275
2010-01-01,0.19647
2010-02-01,-1.30026
2010-03-01,-0.26094
2010-04-01,-4.39504
2010-05-01,-2.4891
2010-06-01,0.79825
2010-07-01,-4.68285
2010-08-01,1.86254
2010-09-01,-3.84141
2010-10-01,1.66482
2010-11-01,-1.86009
2010-12-01,1.71378
2011-01-01,0.28809
2011-02-01,-3.38104
2011-03-01,2.74813
2011-04-01,3.17176
2011-05-01,-0.14477
2011-06-01,-0.60262
2011-07-01,-0.35171
2011-08-01,-2.14534
2011-09-01,2.41689
2011-10-01,-1.19436
2011-11-01,-0.11262
2011-12-01,-1.74525
2012-01-01,-1.37736
2012-02-01,-2.811
2012-03-01,2.76555
2012-04-01,-0.33899
2012-05-01,2.12503
2012-06-01,0.02931
2012-07-01,-1.52769
2012-08-01,-0.71871
2012-09-01,-1.23251
2012-10-01,0.01751
2012-11-01,-0.82559
2012-12-01,-0.65983
2013-01-01,-3.03286
2013-02-01,-1.77506
2013-03-01,3.63893
2013-04-01,-1.47671
2013-05-01,-2.31901
2013-06-01,0.74212
2013-07-01,3.096
2013-08-01,-3.19885
2013-09-01,-0.45875
2013-10-01,-1.39052
2013-11-01,-3.87424
2013-12-01,1.61684
2014-01-01,-0.05158
2014-02-01,0.15717
2014-03-01,-1.65509
2014-04-01,1.00053
2014-05-01,-1.18645
2014-06-01,-0.31439
2014-07-01,-2.43817
2014-08-01,-2.67543
2014-09-01,2.93817
2014-10-01,-1.11563
2014-11-01,0.6417
2014-12-01,-0.07434
2015-01-01,-0.97052
2015-02-01,-1.11751
2015-03-01,1.38618
2015-04-01,-0.66411
2015-05-01,-0.33318
2015-06-01,0.04889
2015-07-01,2.58832
2015-08-01,1.49712
2015-09-01,0.84172
2015-10-01,-1.23986
2015-11-01,-3.04033
2015-12-01,2.08897
2016-01-01,2.12618
2016-02-01,-0.30956
2016-03-01,1.19214
2016-04-01,1.71917
2016-05-01,1.82861
2016-06-01,2.02704
2016-07-01,-1.00236
2016-08-01,3.33294
2016-09-01,-2.7425
2016-10-01,1.89579
2016-11-01,1.08665
2016-12-01,1.92196
2017-01-01,4.13382
2017-02-01,3.26578
2017-03-01,-2.51939
2017-04-01,-3.71508
2017-05-01,1.79716
2017-06-01,-2.23303
2017-07-01,-0.02729
2017-08-01,1.8474
2017-09-01,-3.61635
2017-10-01,-4.64196
2017-11-01,0.57046
2017-12-01,0.09765
2018-01-01,-0.54077
2018-02-01,0.08478
2018-03-01,-1.89313
2018-04-01,-3.32969
2018-05-01,-0.36664
2018-06-01,-2.13776
2018-07-01,-3.61566
2018-08-01,1.1125
2018-09-01,-0.13508
2018-10-01,0.89436
2018-11-01,-2.17645
2018-12-01,-1.44773
2019-01-01,-2.19789
2019-02-01,-1.95061
2019-03-01,0.4299
2019-04-01,-1.72254
2019-05-01,0.78335
2019-06-01,0.74746
2019-07-01,4.45535
2019-08-01,-3.06414
2019-09-01,1.95339
2019-10-01,-0.19687
2019-11-01,-0.03087
2019-12-01,-3.1897
